airport_code,airport_name,city,coordinates,timezone
ARN,Stockholm Arlanda Airport,Stockholm,"[59.6498, 17.9238]",Europe/Stockholm
SAW,Istanbul Sabiha Gökçen International Airport,Istanbul,"[40.8983, 29.3092]",Europe/Istanbul
HAM,Hamburg Airport,Hamburg,"[53.6304, 9.9882]",Europe/Berlin
ATH,Athens International Airport,Athens,"[37.9364, 23.9445]",Europe/Athens
CGK,Soekarno-Hatta International Airport,Jakarta,"[-6.1275, 106.6536]",Asia/Jakarta
LIS,Humberto Delgado Airport,Lisbon,"[38.7813, -9.1359]",Europe/Lisbon
YUL,Montréal-Pierre Elliott Trudeau International Airport,Montreal,"[45.4706, -73.742]",America/Montreal
EDI,Edinburgh Airport,Edinburgh,"[55.95, -3.3725]",Europe/London
DCA,Ronald Reagan Washington National Airport,"Washington, D.C.","[38.8512, -77.0402]",America/New_York
HEL,Helsinki Airport,Helsinki,"[60.3172, 24.9632]",Europe/Helsinki
OSL,"Oslo Airport, Gardermoen",Oslo,"[60.2028, 11.084]",Europe/Oslo
HNL,Daniel K. Inouye International Airport,Honolulu,"[21.3187, -157.9225]",Pacific/Honolulu
STN,London Stansted Airport,London,"[51.8849, 0.235]",Europe/London
SAN,San Diego International Airport,San Diego,"[32.7338, -117.1933]",America/Los_Angeles
WAW,Warsaw Chopin Airport,Warsaw,"[52.1657, 20.9671]",Europe/Warsaw
CUN,Cancún International Airport,Cancún,"[21.0383, -86.877]",America/Cancun
SHA,Shanghai Hongqiao International Airport,Shanghai,"[31.1979, 121.3354]",Asia/Shanghai
BNE,Brisbane Airport,Brisbane,"[-27.3842, 153.1175]",Australia/Brisbane
DUB,Dublin Airport,Dublin,"[53.4213, -6.27]",Europe/Dublin
NGO,Chubu Centrair International Airport,Nagoya,"[34.8583, 136.8049]",Asia/Tokyo
TXL,Berlin Tegel Airport,Berlin,"[52.5597, 13.2877]",Europe/Berlin
BSL,EuroAirport Basel-Mulhouse-Freiburg,Basel,"[47.5981, 7.5254]",Europe/Zurich
GVA,Geneva Airport,Geneva,"[46.238, 6.1092]",Europe/Zurich
PRG,Václav Havel Airport Prague,Prague,"[50.1008, 14.2631]",Europe/Prague
RIX,Riga International Airport,Riga,"[56.9236, 23.9712]",Europe/Riga
GIG,Rio de Janeiro/Galeão International Airport,Rio de Janeiro,"[-22.8089, -43.2436]",America/Sao_Paulo
BOG,El Dorado International Airport,Bogotá,"[4.7017, -74.1469]",America/Bogota
LIM,Jorge Chávez International Airport,Lima,"[-12.0219, -77.114]",America/Lima
CCS,Simón Bolívar International Airport,Caracas,"[10.6017, -66.9886]",America/Caracas
SAL,El Salvador International Airport,San Salvador,"[13.4409, -89.0553]",America/El_Salvador
PPT,Faa'a International Airport,Papeete,"[-17.5536, -149.6106]",Pacific/Tahiti
RGN,Yangon International Airport,Yangon,"[16.9074, 96.1328]",Asia/Yangon
DAC,Hazrat Shahjalal International Airport,Dhaka,"[23.8433, 90.3978]",Asia/Dhaka
KWI,Kuwait International Airport,Kuwait City,"[29.2266, 47.9688]",Asia/Kuwait
DOH,Hamad International Airport,Doha,"[25.2731, 51.6084]",Asia/Qatar
ADL,Adelaide Airport,Adelaide,"[-34.9452, 138.5318]",Australia/Adelaide
PER,Perth Airport,Perth,"[-31.9403, 115.967]",Australia/Perth
MRS,Marseille Provence Airport,Marseille,"[43.4393, 5.2148]",Europe/Paris
CEB,Mactan-Cebu International Airport,Cebu,"[10.3092, 123.9792]",Asia/Manila
PEN,Penang International Airport,Penang,"[5.2974, 100.2771]",Asia/Kuala_Lumpur
USM,Koh Samui Airport,Ko Samui,"[9.5475, 100.0619]",Asia/Bangkok
PNH,Phnom Penh International Airport,Phnom Penh,"[11.5463, 104.8446]",Asia/Phnom_Penh
HKT,Phuket International Airport,Phuket,"[8.1111, 98.3065]",Asia/Bangkok
REP,Siem Reap International Airport,Siem Reap,"[13.4105, 103.8137]",Asia/Phnom_Penh
NBO,Jomo Kenyatta International Airport,Nairobi,"[-1.3192, 36.9276]",Africa/Nairobi
JRO,Kilimanjaro International Airport,Arusha,"[-3.4294, 37.0741]",Africa/Dar_es_Salaam
SEZ,Seychelles International Airport,Victoria,"[-4.6717, 55.5122]",Indian/Mahe
HRE,Robert Gabriel Mugabe International Airport,Harare,"[-17.9319, 31.0929]",Africa/Harare
LAD,Quatro de Fevereiro International Airport,Luanda,"[-8.8575, 13.2306]",Africa/Luanda
DKR,Blaise Diagne International Airport,Dakar,"[14.6698, -17.0733]",Africa/Dakar
